trip_duration_days,miles_traveled,total_receipts_amount,reimbursement,dataset,cost_per_day,cost_per_mile,miles_per_day,cost_ratio
3,93.0,1.42,364.51,public,0.47333333333333333,0.015268817204301075,31.0,31.0
1,55.0,3.6,126.06,public,3.6,0.06545454545454546,55.0,55.0
1,47.0,17.97,128.91,public,17.97,0.3823404255319149,47.0,47.0
2,13.0,4.67,203.52,public,2.335,0.35923076923076924,6.5,6.5
3,88.0,5.78,380.37,public,1.9266666666666667,0.06568181818181819,29.333333333333332,29.333333333333332
1,76.0,13.74,158.35,public,13.74,0.18078947368421053,76.0,76.0
3,41.0,4.52,320.12,public,1.5066666666666666,0.11024390243902438,13.666666666666666,13.666666666666668
1,140.0,22.71,199.68,public,22.71,0.16221428571428573,140.0,140.0
3,121.0,21.17,464.07,public,7.0566666666666675,0.17495867768595041,40.333333333333336,40.333333333333336
3,117.0,21.99,359.1,public,7.329999999999999,0.18794871794871792,39.0,39.0
2,202.0,21.24,356.17,public,10.62,0.10514851485148514,101.0,101.0
3,80.0,21.05,366.87,public,7.016666666666667,0.263125,26.666666666666668,26.666666666666668
2,21.0,20.04,204.58,public,10.02,0.9542857142857143,10.5,10.5
3,177.0,18.73,430.86,public,6.243333333333333,0.10581920903954803,59.0,58.99999999999999
1,141.0,10.15,195.14,public,10.15,0.07198581560283689,141.0,141.0
1,58.0,5.86,117.24,public,5.86,0.10103448275862069,58.0,58.00000000000001
1,133.0,8.34,179.06,public,8.34,0.06270676691729324,133.0,133.0
1,59.0,8.31,120.65,public,8.31,0.14084745762711864,59.0,59.0
2,89.0,13.85,234.2,public,6.925,0.1556179775280899,44.5,44.5
2,147.0,17.43,325.56,public,8.715,0.11857142857142856,73.5,73.5
5,130.0,306.9,574.1,public,61.379999999999995,2.3607692307692307,26.0,26.0
5,173.0,1337.9,1443.96,public,267.58000000000004,7.733526011560694,34.6,34.6
5,592.0,433.75,869.0,public,86.75,0.7326858108108109,118.4,118.39999999999999
5,679.0,476.08,1030.41,public,95.216,0.7011487481590574,135.8,135.8
5,708.0,1129.52,1654.62,public,225.904,1.595367231638418,141.6,141.6
5,261.0,464.94,621.12,public,92.988,1.7813793103448277,52.2,52.199999999999996
5,794.0,511.0,1139.94,public,102.2,0.6435768261964736,158.8,158.79999999999998
5,521.0,1448.55,1624.01,public,289.71,2.7803262955854127,104.2,104.19999999999999
5,595.0,863.93,1231.67,public,172.786,1.4519831932773108,119.0,119.00000000000001
5,811.0,952.39,1608.6,public,190.478,1.1743403205918619,162.2,162.20000000000002
5,477.0,704.42,1045.96,public,140.884,1.4767714884696015,95.4,95.4
5,730.0,485.73,991.49,public,97.146,0.6653835616438356,146.0,146.0
