trip_duration_days,miles_traveled,total_receipts_amount,reimbursement,dataset
3,191.0,21.87,,private
1,81.0,3.93,,private
3,204.0,16.76,,private
1,64.0,22.47,,private
3,204.0,22.19,,private
1,51.0,17.84,,private
3,207.0,18.16,,private
1,182.0,11.75,,private
1,164.0,9.59,,private
2,109.0,14.74,,private
1,110.0,9.81,,private
1,50.0,0.27,,private
2,41.0,2.06,,private
3,143.0,24.16,,private
2,53.0,2.24,,private
3,205.0,1.96,,private
3,163.0,15.86,,private
3,38.0,1.85,,private
3,182.0,2.42,,private
3,144.0,9.52,,private
2,192.0,13.65,,private
1,29.0,17.29,,private
1,167.0,1.14,,private
2,30.0,6.32,,private
3,160.0,24.82,,private
1,167.0,22.49,,private
1,194.0,1.44,,private
2,70.0,2.48,,private
1,143.0,4.06,,private
3,168.0,0.83,,private
2,141.0,9.16,,private
2,165.0,9.62,,private
2,162.0,5.18,,private
1,147.0,7.96,,private
2,45.0,13.79,,private
2,53.0,17.66,,private
2,179.0,19.26,,private
1,41.0,17.06,,private
3,133.0,14.89,,private
2,164.0,22.83,,private
1,34.0,19.68,,private
1,158.0,23.46,,private
2,50.0,24.81,,private
3,45.0,8.01,,private
1,32.0,2.19,,private
1,32.0,21.24,,private
3,187.0,15.92,,private
1,129.0,15.66,,private
3,41.0,12.47,,private
2,102.0,15.32,,private
3,154.0,6.9,,private
3,79.0,17.07,,private
1,91.0,23.11,,private
3,164.0,8.58,,private
3,80.0,10.14,,private
2,199.0,19.16,,private
3,185.0,6.81,,private
2,148.0,6.62,,private
1,28.0,12.2,,private
3,158.0,22.15,,private
1,37.0,5.4,,private
2,64.0,9.99,,private
2,95.0,3.33,,private
1,115.0,23.11,,private
3,168.0,14.87,,private
3,66.0,4.87,,private
2,119.0,16.17,,private
3,147.0,19.52,,private
3,186.0,19.58,,private
3,190.0,10.98,,private
2,105.0,10.56,,private
3,10.0,22.04,,private
1,49.0,2.59,,private
3,205.0,13.12,,private
2,56.0,11.68,,private
3,110.0,19.42,,private
1,74.0,3.23,,private
2,192.0,9.9,,private
2,174.0,9.43,,private
2,22.0,11.95,,private
2,58.0,18.66,,private
2,57.0,7.06,,private
2,60.0,4.18,,private
1,80.0,4.75,,private
3,15.0,24.86,,private
3,176.0,13.54,,private
1,148.0,2.15,,private
2,82.0,17.51,,private
1,113.0,24.76,,private
2,113.0,0.31,,private
1,152.0,21.42,,private
2,123.0,1.81,,private
3,105.0,18.69,,private
1,118.0,13.64,,private
2,146.0,19.39,,private
3,31.0,18.6,,private
2,205.0,18.62,,private
1,186.0,22.66,,private
3,57.0,11.63,,private
2,157.0,18.2,,private
5,389.0,423.41,,private
5,402.0,1398.41,,private
5,283.0,610.77,,private
5,805.0,1321.66,,private
5,680.0,778.66,,private
5,103.0,469.84,,private
5,264.0,1234.12,,private
5,665.0,1060.18,,private
5,290.0,527.13,,private
5,323.0,1143.58,,private
5,131.0,596.78,,private
5,273.0,1532.89,,private
5,711.0,971.64,,private
5,641.0,1141.7,,private
5,815.0,966.17,,private
5,213.0,1459.76,,private
5,583.0,266.32,,private
5,128.0,586.82,,private
5,360.0,964.13,,private
5,146.0,608.05,,private
5,774.0,1262.9,,private
5,636.0,1251.94,,private
5,239.0,706.12,,private
5,847.0,603.11,,private
5,129.0,646.63,,private
5,620.0,1326.79,,private
5,399.0,319.42,,private
5,274.0,531.99,,private
5,52.0,493.31,,private
5,616.0,178.66,,private
5,342.0,1302.36,,private
5,411.0,683.98,,private
5,713.0,519.06,,private
5,705.0,202.99,,private
